,Position,Company,Description,District of Columbia-Washington,Loc_state,Loc_city,Loc_zip,JobPostDate
21852,Business Systems / Data Analyst (P),Technatomy Corporation,"Position Summary:

Technatomy is seeking a motivated, career and customer oriented Business Systems / Data Analyst to join our team in Fairfax, VA.  

Supports task order involving Data Strategy Development and Governance.  The PM and assigned staff will perform the following functions:


	Support the Development of Enterprise Data and Analytics Strategies
	Support the Development of Enterprise Data and Analytics Strategy Implementation Plans.
	Provide support to the client’s data stewardship organization.


The PM and assigned staff will perform the following tasks: 


	Advise the client on appropriate data and analytics strategy, governance and meta data/master data management elements and efforts.  
	Create Enterprise Data Governance documents (i.e. strategy, charter, working and policy documents, meta data management, maintenance of eWorkplace collaboration site).
	Provide evaluation of use/strategy for visualization and data mining tools.
	Develop data dictionary and/or metadata management plan/process.
	Develop authoritative data source identification and registration process.
	Create data quality assessment reports.


The Systems/Data Analyst will advise the client on the systems, applications, tools, and best practices to meet that agencies data strategy and governance objectives.


	Evaluation and advise the client of systems, tools, and best practices for data analytics, governance and meta data/master data management.  
	Provide evaluation and recommendation visualization and data mining tools.
	Recommend tools and best practices to establish data dictionary and/or metadata management plan/process.


Primary responsibilities include:  


	Responsible for documenting existing operations and practices; analyzing those operations and practices against documented best practices and developing a plan of actions and milestones to evolve to the best practices. 
	Acts as a member of a team responsible for providing technical guidance concerning the application of various systems, tools, applications and best practices pertaining to enterprise data management.


Required Skills: Example below


	Understanding of data analytics, standardize data models, and master data management plans
	Skilled in developing and maintaining data governance standards, policies and procedures
	Understand of the systems, applications, tools, and best practices associated with data strategy development and governance


Qualifications:  


	Minimum Education: BA or BS
	Must have Project Management certification (i.e. Project Management Professional (PMP), other recognized certification, etc.) 
	Five (5) years relevant program management experience and 10 years of leadership experience with progressively higher responsibility in the public and/or private sector in the IT and/or consulting fields.


Clearance: 


	Must currently hold a Public Trust clearance


Work Location:


	Fairfax, VA


 

Technatomy Corporation is an Equal Opportunity Employer. It is the policy of Technatomy Corporation to afford equal employment opportunity regardless of race, color, religion, national origin, sex, age, marital status, disability or veteran status, or any other status protected by applicable law.","Fairfax, VA",VA,Fairfax,,
22038,Sr Data Engineer,The Hartford Financial Services," Job Description - Sr Data Engineer (1702518)Job Description Sr Data Engineer  -  1702518  DescriptionWHAT CAN YOU TELL ME ABOUT THIS POSITION? 
 
The Hartford is looking for a Sr. Data Engineer/Tech lead for its Enterprise Data Office. The role will be a key resource in a strategic multi-year initiative for Commercial Actuarial Transformation Program.
 
Overall Knowledge
 
Responsible for technical leadership role in supervising, planning and delivering highly complex projects, consisting of a large number of deliverables, complex dependencies, and significant resource needs

Work closely with project manager, business analysts, architects and other partners to ensure timely delivery of all project components.  
Clear and concise communication, interpersonal, organizational and team building skills, business judgment, and proven expertise in directing the efforts of a technical staff.
Responsibilities
 


Utilize tools such as Informatica, B2B, PL/SQL, Hadoop, etc… to develop complex data assets that support organizational decision making via prototyping, data discovery, profiling, etc…

Act as a Subject Matter expert on existing data assets through root cause analysis and resolution of any business/technical questions

Work with business partners and Performance Analytics teams to help develop requirements for data assets, prototyping, and data delivery

Support development of training materials and perform end-user training to ensure a high degree of customer engagement

Support documentation, metadata and data visualization of the assets

Participate in the development of the implementation plan as a subject matter expert

Leads other developers’ efforts to delivery of timely high quality code

Seeks and achieves synergies across multiple efforts/organizations

Demonstrates continuous self-directed personal growth

Contributes in significant and tangible ways to growth of others

Demonstrates broad perspective of cost, business value in addition to technology

Effectively partners with business to drive cost-effective solutions and high-value innovation

Effectively leverages data to drive objective decision-making
 
  QualificationsWHAT ARE THE QUALIFICATIONS? 


5-7 years of data analysis, manipulation and development

1-3 years of experience in the insurance or investment industry

Working experience with Big Data technologies and concepts on a Hadoop platform (e.g. Scoop, Hive, Pig, NoSQL, etc) are plus

Strong SQL skills

Ability to design, implement, and oversee ETL processes

Familiarity with emerging data centric technologies such as data virtualization

Ability to choose and effectively utilize data wrangling technologies
Bachelor degree with at least 5-7 years of applicable work experience
What criteria do we use to Assess, Hire, Develop & Reward our workforce?  
 

Data Analysis-  Input, understand, analyze and act on data
Business Owner Mindset-  Operate with keen business knowledge, expense, risk & controls driven mindset 
Communication-  Influence through a consultative approach
Customer Driven- Focus on “Harvest” – (our enterprise continuous improvement effort), innovative problem solving, and efficient local decision making for continuous improvement
Growth & Development-  Maximize development of self and others
 
 
What Else Can You Tell Me? 
The Hartford is committed to the education and growth of our Information Technology Professionals.  A number of IT Certifications are available to enhance your career and growth potential.  IT Professionals at The Hartford may qualify for a stipend up to $1000 per year for additional certifications
 
 
Behaviors at the Hartford

Deliver Outcomes – Demonstrate a bias for speed and execution that serves our shareholders and customers.
Operate as a Team Player – Work together to drive solutions for the good of The Hartford.
Build Strong Partnerships – Demonstrate integrity and build trust with others.
Strive for Excellence – Motivate yourself and others to achieve high standards and continuously improve.
 
Equal Opportunity Employer/Females/Minorities/Veterans/Disability/Sexual Orientation/Gender Identity or Expression/Religion/Age
 
 
** NO AGENCIES PLEASE **  Job Function:  Data EngineeringPrimary Location:  United States-Connecticut-HartfordSchedule:  Full-timeJob Level:  Individual ContributorEducation Level:  Bachelor's Degree (±16 years)Job Type:  StandardShift:  Day JobEmployee Status:  RegularOvertime Status:  ExemptTravel:  NoJob Posting:  Oct 4, 2017, 5:09:37 PMRemote Worker Option:  NoThe Hartford is an equal employment and affirmative action employer. All qualified applicants will receive consideration without regard to race, color, sex, religion, age, national origin, disability, veteran status, sexual orientation, gender identity or expression, marital status, ancestry or citizenship status, genetic information, pregnancy status or any other characteristic protected by law. The Hartford maintains a drug-free workplace and is committed to building inclusion and leveraging diversity.  ",United States-Connecticut-Hartford,CT,Hartford,,2017-10-04T12:00:00+00:00
22047,Sr Data Engineer,The Hartford Financial Services," Job Description - Sr Data Engineer (1702565)Job Description Sr Data Engineer  -  1702565  DescriptionThe Hartford’s Commercial Business Intelligence and Analytics team is seeking a Data Engineer to support the Commercial BI organization.  The ideal candidate will have strong business acumen, superior technical ability, and be able to move seamlessly between fulfilling tactical requests and strategically driving the execution of the team vision.  The primary responsibility of the Data Engineer will be to ensure the Commercial BI team and all of Commercial Lines has access to and realizes the maximum benefit of the data sources and BI tools available and to support the business as they search for actionable insights to optimize decision making.  The candidate will work closely with our Performance Analytics team, the business and technical partners to understand the data needs and leverage the BI technology stack to fulfill those needs. Data Engineers are proficient in data warehouse and Big Data architecture, Business Intelligence tools and agile development methodologies. They think critically to tackle complex challenges, thrive in a fast-paced environment and are seeking a high growth opportunity where they will have an immediate impact. RESPONSIBILITIES:  Integrate and aggregate complex data from multiple data sources and platforms, enhancing customer access to information and promote a data driven culture.Quickly assemble meaningful data sets where none are available to answer complex business questions. Own the BI technology stack; partnering with EDO to ensure the technologies and platforms Commercial Lines relies on are available, stable, and delivering the necessary business value.Liaison to enterprise technical partners in all matters concerning data management, data quality, and platform/servers that would impact Commercial.Build and foster relationships with technical partners.Contribute to or act as the Commercial Data Steward, monitoring data quality, evaluating the completeness and strategic soundness from a business perspective of any requested warehouse enhancements.Subject matter expert in at least 2, preferably 3 of the following: Tableau(Desktop and Server), SAS, SQL, R, data warehouse concepts and architecture, agile software development, performance testing and tuningTakes on the role of subject matter expert  for Commercial data and projects QualificationsTechnical knowledge:  3- 5years experience with various tools used for data exploration and  business intelligence (e.g. Toad, SQL, Oracle, SAS, R, Business Objects, MSBI, Tableau, Qlik, MicroStrategy, Alteryx)Advanced knowledge of SQL and data warehouse design and usageHighly analytical person equally comfortable coding and interacting with business partnersAnalytical, creative, and innovative approach to solving problemsPositive, people-oriented, and energetic attitudeAbility to work effectively in a team environment and independentlyStrong written and verbal communication to interact effectively with both technical and non-technical users at all levels of the organizationMust be able to work on multiple concurrent projectsEntrepreneurial spirit  - self-motivated, strong sense of ownership/accountability, and results oriented with the ability to manage time and schedules effectivelyDeals with issues in a proactive mannerAccepts challenges and changeWillingness to learn new technologies/methodologies and apply themAbility to understand and follow guidelines and standardsProven negotiation abilityCustomer focus:  strives to give customers the best service and takes the initiative to add valueKnowledge of Commercial data landscapeKnowledge of server platforms(UNIX, LINUX, Windows) a plus   Job Function:  Data EngineeringPrimary Location:  United States-Connecticut-HartfordSchedule:  Full-timeJob Level:  Individual ContributorEducation Level:  Bachelor's Degree (±16 years)Job Type:  StandardShift:  Day JobEmployee Status:  RegularOvertime Status:  ExemptTravel:  Yes, 10 % of the TimeJob Posting:  Oct 6, 2017, 7:27:29 PMRemote Worker Option:  NoThe Hartford is an equal employment and affirmative action employer. All qualified applicants will receive consideration without regard to race, color, sex, religion, age, national origin, disability, veteran status, sexual orientation, gender identity or expression, marital status, ancestry or citizenship status, genetic information, pregnancy status or any other characteristic protected by law. The Hartford maintains a drug-free workplace and is committed to building inclusion and leveraging diversity.  ",United States-Connecticut-Hartford,CT,Hartford,,2017-10-06T12:00:00+00:00
22093,MEASURE TECH – WISCONSIN RAPIDS (Part-Time),The Home Depot,"POSITION PURPOSEThe Measure Technician works independently in a traveling field role in support of Home Depot’s Measurement Services center. The Technician’s role is to provide quality professional customer service that consistently meets or exceeds Company standards of excellence and customer expectations. The position is directly responsible for creating, maintaining and improving customer relationships while interacting with customers on a daily basis during sales, product inquiry, taking on-site home measurements and coordinating installations in conjunction with the Measurement Services center. The position is also directly responsible for providing a positive customer experience, accurate measurements, entering and transmitting measurements by a CAD tablet and various related department goals.MAJOR TASKS, RESPONSIBILITES AND KEY ACCOUNTABILITIES90% – Providing customer service by assessing customer needs, communicating with customers and conducting home measures.  10% – Review and edit of drawings in the CAD tablet.NATURE AND SCOPEThis position reports to Marketing Manager.  This position has 0 direct reports.ENVIRONMENTAL JOB REQUIREMENTSEnvironment: Located in a comfortable indoor area. Conditions could produce mild discomfort on occasion.
MINIMUM QUALIFICATIONSMust be eighteen years of age or older.Must be legally permitted to work in the United States.Additional Minimum Qualifications:
Education Required:The knowledge, skills and abilities typically acquired through the completion of a high school diplomas and/or GED.Years of Relevant Work Experience: 0 yearsPhysical Requirements:Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.Additional Qualifications:
Preferred Qualifications:Previous customer service or retail sales experience is preferred.Knowledge, Skills, Abilities and Competencies: Skilled at consistently providing outstanding customer service, following through on responsibilities to customers and recovering from any errors made.  Demonstrated ability to complete projects and assignments accurately, catching errors before completion, despite a large workload, competing demands and a fast paced environment.  Demonstrated ability to effectively communicate with customers.  Ability to set priorities, plan and coordinate work activities and obtain and manage resources so that work objectives are accomplished on time.  Associates must have strong computer skills, and understanding for CAD like applications.","Wisconsin Rapids, WI",WI,Wisconsin Rapids,,2017-10-04T12:00:00+00:00
22102,Business Intelligence Manager,The Home Depot,"Job Description
Supply Chain Business Intelligence Manager (SMCIBI)
Position Purpose:
Designs, Architects, Develops, Tests, and Deploys comprehensive Business Intelligence solutions for use throughout numerous subject matter areas within the Supply Chain.  Responsible for partnering closely with Distribution, Transportation, and Inventory Planning functional groups to provide actionable visibility to data.
Major Tasks, Responsibilities, and Key Accountabilities

25% – Demonstrates the consistent ability to analyze data independently and draw actionable conclusions.  Should be able to prepare executive level and operational level reporting that is easily understood and actioned upon based on findings.
25% – Coordinates across cross-functional barriers to integrate disparate datasets in a compelling and accurate fashion.
25% – Creates impactful reporting (both distributed and dashboards) for diverse audiences that scales from record sets containing hundreds of millions of rows.
15% – Grows and develops junior associates in both technical and functional knowledge areas.
10% – Drives accountability throughout the supply chain to ensure data best practices are being followed.

Nature and Scope:

This position reports to a Sr. Manager
This position has 0-4 Direct Reports.

Environment Job Requirements:
Located in a comfortable indoor area.  Any unpleasant conditions would be infrequent and not objectionable.Typically requires overnight travel less than 10% of the time.
Minimum Qualifications: 

Must be eighteen years of age or older
Must be legally permitted to work in the United States

Education Required:  The knowledge, skills, and abilities typically acquired through the completion of a bachelor’s degree program or equivalent degree in a field of study related to the job.
Years of Relevant Work Experience: 5 with a Bachelors, 3 with a Masters.
Physical Job Requirements:  Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about.  On rare occasions there may be need to move or lift light articles.
Additional Qualifications:  Bachelor or Masters in Industrial Engineering, Logistics, Advanced Analytics, or related field.
Knowledge, Skills, Abilities and Competencies
Strong business intelligence and data analysis skills with proven ability that has resulted in scalable and actionable reporting solutions:

Gathering comprehensive requirements from users and developing strategies to align the requirements within the scope of the deliverable.
Identifying critical and key data sources across numerous and disparate data sources.
Experience with conducting complex ETL (Extract-Transform-Load) operations in a scalable fashion.
Designing and developing both distributed reports and interactive dashboards.
Data modeling and creating new databases from previously unstructured data sources.
Experience with the following Business Intelligence dashboard and reporting platforms: Tableau Desktop and Tableau Server
Experience with the following databases: Microsoft SQL Server and Oracle
Experience with the following programming languages: R, Visual Basic for Applications in Excel, JavaScript, VB.NET, Visual Basic, and XML.
Experience with the Full Suite of Microsoft BI Solutions: MS SQL Server, MS SQL Server Integration Services (SSIS), MS SQL Server Analytics Services (SSAS), MS SQL Server Reporting Services (SSRS).","Atlanta, GA",GA,Atlanta,,2017-09-27T12:00:00+00:00
22319,Data Analyst,The Nielsen Company," Job Description - Data Analyst (1714738)Job Description Data Analyst-1714738Description Advanced Solutions is looking for a Data Analyst who will support the operations and monitor the quality of large data integration projects used primarily for category management and sales tracking applications. The person will work closely with a cross-functional development team in enhancing internally developed tools for data integration, harmonization and quality management. The person will help establish and enforce data quality standards and documentation. The person will track and manage the data loads and ensure the operational health of the system. If you enjoy gathering and digging deeply into data to identify issues and solve problems this is the role for you.Responsibilities:Works closely with developers and project managers in the delivery of error-free data to clients. Acquire the appropriate data using SQL queries to answer business questions.Maintain and manage product taxonomies. Track the quality of the product taxonomy.Work with the development team to establish and enforce data quality standards and documentation.Monitor and manage all the scheduled jobs and manage the end-to-end data flow.Acquire a solid understanding of the business and operational challenges, and proactively provide solutions to ambiguous business issues through analytical approaches.Monitor the data quality of the input sources.Implement solutions to track and manage data quality of the output; own calculation of quality metrics.Investigate and determine causes of increases/decreases in quality metrics.Refresh and distribute monthly reports. 
Qualifications Required Experience and Skills:At least 3 years of hands-on experience working with data integration and harmonization solutions.Extensive experience executing SQL queries of advanced complexity.Experience working with relational databases.Experience in evaluating and managing data quality.Strong work ethic complemented by a positive, can-do attitude.Excellent communication skills; ability to explain difficult concepts to a non-technical audience.Desired Skills:Experience with Python for data management.Experience with Unix Shell scripting.Experience with Cloud-based environments.Education:Bachelors in Math, Computer Science or other related STEM majorsCOMPANY SYNOPSIS:NIELSEN N.V. (NYSE: NLSN) IS A GLOBAL PERFORMANCE MANAGEMENT COMPANY THAT PROVIDES A COMPREHENSIVE UNDERSTANDING OF WHAT CONSUMERS WATCH AND BUY. NIELSEN’S WATCH SEGMENT PROVIDES MEDIA AND ADVERTISING CLIENTS WITH TOTAL AUDIENCE MEASUREMENT SERVICES ACROSS ALL DEVICES WHERE CONTENT — VIDEO, AUDIO AND TEXT — IS CONSUMED. THE BUY SEGMENT OFFERS CONSUMER PACKAGED GOODS MANUFACTURERS AND RETAILERS THE INDUSTRY’S ONLY GLOBAL VIEW OF RETAIL PERFORMANCE MEASUREMENT. BY INTEGRATING INFORMATION FROM ITS WATCH AND BUY SEGMENTS AND OTHER DATA SOURCES, NIELSEN PROVIDES ITS CLIENTS WITH BOTH WORLD-CLASS MEASUREMENT AS WELL AS ANALYTICS THAT HELP IMPROVE PERFORMANCE.  NIELSEN, AN S&P 500 COMPANY, HAS OPERATIONS IN OVER 100 COUNTRIES THAT COVER MORE THAN 90 PERCENT OF THE WORLD’S POPULATION. FOR MORE INFORMATION, VISIT WWW.NIELSEN.COM. Nielsen is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class.
Job:  AnalyticsPrimary Location:  North America-US-IL-ChicagoOrganization:  EngineeringSchedule:  Full-timeShift:  Day    ",North America-US-IL-Chicago,,Chicago,,
22374,Lead Data Scientist,The Nielsen Company," Job Description - Lead Data Scientist (1715174)Job Description Lead Data Scientist(Job Number: 1715174)Description 
Nielsen is the largest global measurement company in the world with unique measurement technologies, assets, and data that make it one of the most interesting and challenging places for a data scientist to work.  We focus on what consumers watch, listen to, and buy in over 95 countries.
Data Science is core to what Nielsen does, and our research projects have high visibility in directly affecting the results of our business and our clients.   This Lead Data Scientist role in the Core Digital Product team provides an opportunity to drive methodological innovation in the exciting and fast-changing world of digital media measurement. You would stretch yourself to implement and validate new models and processes across platforms (TV, computer, and mobile), centered on Nielsen’s various digital measurement. This is an ideal position to lead innovative product development and utilize subject-matter expertise in digital methodology and cross-platform audience measurement.
The Core Digital team within Data Science’s Watch Product organization focuses on improving and enhancing Nielsen’s highly successful products in the marketplace for digital advertising and content measurement. In addition to being at the forefront of innovative digital measurement, Data Scientists also design research studies to support and validate innovative measurement solutions, and lead the development and maintenance of new models to integrate different data sources. 
Qualifications  
Role Requirements:


5-7 years of relevant experience 

Masters degree in Statistics, Social Science, Operation Research, or other hard sciences (e.g. Engineering, Computer Science, Biology, Physics etc.) with outstanding analytical expertise and strong technical leader.

Experience with trend analyses, data aggregation techniques, automation, generalization.

Proficient in SQL, navigating databases and analyzing large datasets. 

Strong oral and written communication skills

Experience communicating complex methodological concepts to a variety of stakeholders

Demonstrated experience working in teamsQualifications 
Skills Desired:


Demonstrates experience in Nielsen methodologies, data collection, platforms, research processes and operations.

Domain expert in at least one area: Statistical Modeling, Research Practices, Audience Measurement, Data Integration and/or Digital. 

Ability to manipulate, analyze and interpret large data sources                                                                                                                                                     

Experience with data visualization tools (e.g. Tableau, Spotfire)

Experience in big data technologies and machine learning 

Experience in high-level programming language including Python, R or other statistical packages

Experience working with global cross-functional teams of various sizes
Key Responsibilities


Maintain subject matter expertise on digital advertising methodologies, acting as a key point of contact across multiple stake holders

Develop and refine validation and system testing SQL or python scripts

Work with cross-functional teams to validate and test new product enhancements

Lead a group of junior analysts on validation and research endeavors

Lead process improvement initiatives and automation – this includes utilizing python and data bricks software to improve team processes

Ensure and maintain documentation of team processes, databases, scripts and best practices

May directly deal with clients to clearly understand their needs, and to provide possible solutions for client consideration                                                                              

Stay informed of new research and developments in the field 

Participate in internal and external knowledge exchanges (conferences, workshops, webinars)Job: RegularPrimary Location: North America-US-FloridaSchedule: Full-timeShift: Day   ",North America-US-FL-Tampa Bay,FL,Tampa Bay,,
22391,Sr. Data Scientist,The Nielsen Company," Job Description - Sr. Data Scientist (1715215)Job Description Sr. Data Scientist-1715215Description As the world’s largest research organization, Nielsen is powered by talented creative scientists. Our Data Scientists come from diverse disciplines such as statistics, research methodology, mathematics, psychology, business, engineering and demography. These professionals drive innovation, new product ideation, experimental design and testing, complex analysis and delivery of data insights.
 

The Sr. Data Scientist is responsible for supporting all analytical needs for the Methods Center.
 
Job Responsibilities 


Conducts analyses to support Methods programs.  

Writes, revises, and extends internal software to demonstrate and/or implement measurement methodologies.

Leads prototyping (what –ifs) as well as supporting pilot programs for R&D purposes.  The primary areas includes – but not limited to – trend analyses, identifying gaps for improvements in coverage, representation/ sampling, bias reduction, indirect estimation, data integration, automation, generalization, harmonization as well as working with different data sources.

Address major quality escapes.

Ensures documentation of the new methodologies and best practices.

Work with cross-functional teams to design, implement, and test new consumer and audience measurement methodologies.   

Assist in the design and testing of data collection methodologies for Nielsen panels and surveys.

Provide research support for the identification and implementation of methods and best practices to improve respondent cooperation and optimize data collection approaches.  

Represents Nielsen within academic and research councils.Qualifications Role Requirements : E=essential, P=preferred.


E- 3+ years of experience in a market research or relevant field

E- Bachelor's degree in Statistics, Social Science, Operation Research, or other hard sciences (e.g. Engineering, Computer Science, Biology, Physics etc.) with outstanding analytical expertise and strong technical leader.

E- Experience in machine learning, trend analyses, multivariate statistics (parametric/ non-parametric), representation/sampling, bias reduction, indirect estimation, data aggregation techniques, automation, generalization.

E- Proficient in Python (preferred), R, SAS, SPSS, Stata or other statistical packages.

P- Knowledge in SQL, working with algorithms, and large-scale databases.

P- Demonstrates experience in Nielsen methodologies, data collection, platforms, research processes and operations.

P- Domain expert in at least one area: Demography, Sampling, Statistics Modeling, Research Practices, Data Integration and/or Digital.
ABOUT NIELSEN
Nielsen is a global performance management company that provides a comprehensive understanding of what consumers Watch and Buy. Nielsen's Watch segment provides media and advertising clients with Total Audience measurement services across all devices where content — video, audio and text — is consumed. The Buy segment offers consumer packaged goods manufacturers and retailers the industry's only global view of retail performance measurement. By integrating information from its Watch and Buy segments and other data sources, Nielsen provides its clients with both world-class measurement as well as analytics that help improve performance. 
Nielsen, an S&P 500 company (NYSE: NLSN), has operations in over 100 countries that cover more than 90% of the world's population.  Nielsen prides itself on being a place where employees can be themselves, make a difference, and grow their careers with the company.  It has been named one of the “Top 50 Companies for Diversity” by DiversityInc for three years running and was selected as one of the “Top 35 Companies for Leaders who want Flexibility” by FlexJobs.  For more information visit www.nielsen.com. 
Nielsen is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class.Job:  Data SciencePrimary Location:  North America-US-IL-ChicagoOther Locations:  North America-US-NY-New YorkOrganization:  Data ScienceSchedule:  Full-timeShift:  DayTravel:  Yes, 10 % of the Time    ",Multiple Locations,Multiple,Multiple Locations,,
22412,Data Science Associate,The Nielsen Company," Job Description - Data Science Associate (1715186)Job Description Data Science Associate-1715186Description The
Europe methods team within Data Science’s Audience Measurement Methods
organization focuses on applying and enhancing Nielsen’s highly successful
products out in the marketplace for digital advertising and content
measurement. In addition to defining and designing product methodologies,
Measurement Scientists also design research studies to support and validate
innovative measurement solutions, and lead the development and maintenance of new
models to integrate different data sources. The European methods team is
focused also on Television Audience Measurement support in terms of panel
sample evaluation and developing new measurement process.Key Responsibilities·        
Develop,
test, and refine data models using multiple types of data for various purposes
such as imputation and data correction·        
Work
with cross-functional teams to design, implement and test new consumer and
audience measurement methodologies·        
Integrate
multiple data sources into consolidated analyses and measures·        
Identify
new opportunities for enhancing our product offerings, such as by adding
different data sources or additional demographic segments·        
Document new methodologies and best practices











·        
Stay informed of new research and developments in
the field *LI-CHQualifications This position requires a
detail-oriented person who has experience in data modeling research and who
enjoys working in a fast-paced environment. 
Ability to problem-solve, work independently, and see the big picture are
keys to success in this position. ·        
Bachelor’s
in statistics, economics, quantitative social sciences, mathematics with
analytical expertise and technical leadership     ·        
Knowledge about trend analyses,
multivariate statistics (parametric/ non-parametric), sampling, bias reduction,
indirect estimation, automation, machine learnings ·        
Experience
working with large datasets·        
Experience
working in at least one statistical language such as SAS, R·        
Experience
working in at least one computer programming language such as SQL or Python ·        
Good
 communication skills (written and
verbal)·        
Experience
working in teams















·        
Proficiency
in English, both written and spokenJob:  Data SciencePrimary Location:  CH-TI-Lugano-LuganoOrganization:  Data ScienceSchedule:  Full-timeShift:  DayTravel:  No    ",CH-TI-Lugano-Lugano,Multiple,Lugano,,
22519,Lead Software Engineer (C++ / Java / Python),The Walt Disney Company,"Flex Force Is a Disney-internal boutique consulting groupthat supports strategic projects throughout The Walt Disney Company.  The team is highly dynamic, and is able to work on challenging projects in many different fields; from platform to social to mobile to console to web and emerging technologies.  Many of the projects are critical to the overall business, and, as such the team is expected to maintain a high level of technical competency and professionalism. As part of the Flex Force team, the Lead Software Engineer will contribute to a diverse slate of strategic projects within the different business units at the Walt Disney Company.                                    ResponsibilitiesParticipate in full lifecycle software development.Design, implement and unit test moderately complex software solutions from the ground up.Troubleshoot and resolve defects.Collaborate effectively with technology teams across Disney.Provide solution ownership within and across project teams.                                    Basic Qualifications6+ years of commercial software development experience.Relevant skills include but not limited to: C/C++, Python, Java, Javascript, iOS, Android, Ruby, node.js, 2D/3D graphics, AR/VR, Unity, and Unreal.Machine learning and data science experience highly valued, especially deep learning, TensorFlow, NLP.Heavy emphasis on core interactive software engineering skills, including performance, rendering, memory management, algorithm design, architecture, and mobile.Strong software engineering and design skills.Excellent debugging skills and knowledge of requisite tools.Demonstrated ability to effectively prioritize requirements and make informed project tradeoffs.Able to decompose high level problems into discrete engineering tasks, and estimate level of effort to completion.Ability to self-manage engineering tasks of moderate complexity.Excellent communication and teamwork skills.Highly flexible and adaptable – can be dropped into new assignments, technologies and teams, and quickly demonstrate mastery.Not required but highly valued: Experience with formal or informal leadership and mentorship of mid to senior level engineers.                                                    Required Education
BS or MS in Computer Science or equivalent quantitative field OR equivalent experience.                                                                    Additional InformationThis position is a legal entity of Disney Consumer Products & Interactive Media, an equal opportunity employer.","Solana Beach, California, United States; Glendale, California, United States Solana Beach, California, United States; Glendale, California, United States Disney Consumer Products and Interactive Media",CA,Solana Beach,,2017-11-10T12:00:00+00:00
22541,"Machine Learning Engineer Intern - Orlando, Summer 2018",The Walt Disney Company,"At Disney, we are storytellers. We make the impossible, possible. We do this through utilizing and developing cutting-edge technology and pushing the envelope to bring stories to life through our movies, products, interactive games, parks and resorts, and media networks. Now is your chance to join our talented team that delivers unparalleled creative content to audiences around the world. The Walt Disney Attractions Technology (WDAT) team combines custom technology solutions with creativity to produce robust applications that enhance all aspects of the guest experience. From one of the most sophisticated hotel reservation systems in the world to Disney Cruise Line shipboard systems, Disney Vacation Club member services, FastPass ticketing, PhotoPass, and even inventory applications to ensure we have the right number of cast costumes. WDAT seeks forward-thinking team members who are passionate about delivering a quality product and enjoy working closely with business partners on both strategic and tactical challenges.                                    ResponsibilitiesWith The Walt Disney Attractions Technology group, this intern will be expected to participate on an Information Advantage Delivery Studio team in the role of Machine Learning Engineer.  The ideal candidate should have hands on familiarity with machine learning algorithms, toolsets and design patterns and be effective at creating and evaluating complex predictive models, prototypes and experiments. Be a part of a transformative team and culture working on cutting edge solutions in the Machine/Deep Learning field directly impacting guest experience and service excellence across our Parks & Resorts. Our Technology organization seeks forward-thinking team members who are passionate about delivering a quality product and enjoy working closely with business partners on both strategic and tactical challenges.  Candidate should have strong verbal and written communication skills, and be able to work independently as a self-starter, utilize good time management skills, and function well within a diverse team.                                      Basic QualificationsWhat you bring to the role... Strong understanding of Computer Science fundamentalsStrong working knowledge of probability and statistics and application of these to learning modelsDeveloper skills in Java and Python.Familiarity with machine learning libraries like Spark MLLib, AWS Machine Learning, Mahout, JSAT or similarSolid grounding in data science and information management disciplines                                                    Required Education
Junior, Senior, Graduate Level student or recent graduate (within 6 months of graduating) pursuing a Bachelor's or Master's Degree in Computer Science, Management Information Systems, Computer Engineering, Data Science or related field.                                                                    Additional Information   Internship Eligibility:·    Must be enrolled in an accredited college/university taking at least one class in the semester/quarter (spring/fall) prior to participation in the internship program OR must have graduated from a college/university within 6 months OR currently participating in a Disney College Program or Disney Professional Internship·    Must be at least 18 years of age·    Must not have completed one year of continual employment on a Disney internship or program.  ·    Must possess unrestricted work authorization·    Must provide full work availability·    Must provide own transportation to/from work·    Current Active Disney cast members must meet Professional Internship transfer guidelines (for Walt Disney World cast members this is no more than four points and one reprimand in the last six months; for Disneyland cast members this is six months of consecutive service and a performance record clear of any disciplinary issues (warnings, suspensions, etc.) for at least six months)Program Length: The approximate dates of this internship are May to August 2018.Interns must be fully available for the duration of the internship. Housing: A limited amount of company sponsored housing is available on a first-come, first-serve basis. If company sponsored housing is not available, the intern must be willing to provide their own housing for the duration of the internship.Recommendation – Print or Save This Role Description: Strong candidates may be invited to complete a phone interview. We strongly encourage applicants to print a copy of this role description so they can refer to it in the event they are selected for a phone interview.","Orlando, Florida, United States Orlando, Florida, United States Disney Parks & Resorts",FL,Orlando,,2017-10-13T12:00:00+00:00
