Position,Company,Description,Loc_state,Loc_city,Skills,Type,Source
"Research Scientist, Machine Learning and Intelligence","
Google",NA,Mountain View,CA,NA,NA,NA
Intern - Machine Learning Performance Metrics,"
Intel",NA,Santa Clara,CA,NA,NA,NA
"Vice President, Data Science - Machine Learning","
Wunderman",NA,Dallas,TX,NA,NA,NA
"Vice President, Data Science","
MetLife",NA,Cary,NC,NA,NA,NA
ENGINEER - RESEARCH ENGINEER - MACHINE LEARNING,"
Southwest Research Institute",NA,San Antonio,TX,NA,NA,NA
"Software Engineer, Machine Learning","
Google",NA,Mountain View,CA,NA,NA,NA
Maps Search - Engineer/Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Senior Software Engineer - Machine Learning,"
Splunk",NA,San Francisco,CA,NA,NA,NA
Machine Learning Architect- Intern,"
Micron",NA,Seattle,WA,NA,NA,NA
Data Scientist for Robotic & Cognitive Automation,"
Citi",NA,Tampa,FL,NA,NA,NA
Data Scientist/Data Wrangler,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
Machine Learning Engineer,"
Avvo",NA,Seattle,WA,NA,NA,NA
"Software Engineer, Cloud Machine Learning","
Google",NA,Mountain View,CA,NA,NA,NA
Machine Learning Cloud Consultant,"
Google",NA,New York,NY,NA,NA,NA
Machine Learning Engineer,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
Machine Learning Software Engineer,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
Machine Learning Researcher - CIPHER - 1568,"
Georgia Tech Research Institute",NA,Atlanta,GA,NA,NA,NA
Data Scientist - People Analytics & Measurement,"
McKinsey & Company",NA,Atlanta,GA,NA,NA,NA
Machine Learning Engineer,NA,NA,Los Altos,CA,NA,NA,NA
"UX Researcher, Machine Learning","
HubSpot",NA,Cambridge,MA,NA,NA,NA
Senior AI Data Scientist,"
Honeywell",NA,Atlanta,GA,NA,NA,NA
Machine Learning Researcher,NA,NA,Austin,TX,NA,NA,NA
Machine Learning Engineer,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
"Software Engineer, Machine Learning","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Data Scientist,"
Schneider Electric",NA,Andover,MA,NA,NA,NA
Machine Learning Researcher - CIPHER - 1568,"
Georgia Tech Research Institute",NA,Atlanta,GA,NA,NA,NA
Data Scientist - People Analytics & Measurement,"
McKinsey & Company",NA,Atlanta,GA,NA,NA,NA
Machine Intelligence Engineer,NA,NA,Colorado Springs,CO,NA,NA,NA
Data Scientist for Robotic & Cognitive Automation,"
Citi",NA,Tampa,FL,NA,NA,NA
Data Engineer - AWS Artificial Intelligence,"
Amazon.com",NA,Seattle,WA,NA,NA,NA
Machine Learning Architect- Intern,"
Micron",NA,Seattle,WA,NA,NA,NA
Data Scientist,"
Microsoft",NA,Bellevue,WA,NA,NA,NA
"Software Engineer, Machine Learning","
Google",NA,Mountain View,CA,NA,NA,NA
Senior Software Engineer - Machine Learning,"
Splunk",NA,San Francisco,CA,NA,NA,NA
Machine Learning Engineer,"
Avvo",NA,Seattle,WA,NA,NA,NA
Senior Data Scientist,"
Cargill",NA,Plymouth,MN,NA,NA,NA
Data Science Development Program- Junior Data Scientist,"
MassMutual",NA,Amherst,MA,NA,NA,NA
Data Analyst,"
Government of the District of Columbia",NA,Washington,DC,NA,NA,NA
Data Analyst,"
Emory University",NA,Atlanta,GA,NA,NA,NA
Data Analyst,"
Dassault Falcon Jet",NA,Little Rock,AR,NA,NA,NA
"Data Analyst, Consumer Hardware","
Google",NA,Mountain View,CA,NA,NA,NA
Data Analyst - Media,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Analyst,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Analyst,NA,NA,New York,NY,NA,NA,NA
Data Analyst,"
JP Morgan Chase",NA,Wilmington,DE,NA,NA,NA
Enablement Programs Business Intelligence Analyst,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Analyst,"
healthgrades",NA,Denver,CO,NA,NA,NA
"Data Scientist/Quantitative Analyst, Engineering","
Google",NA,Mountain View,CA,NA,NA,NA
"Data Analyst, Emory Division of Hospital Medicine","
Emory University",NA,Atlanta,GA,NA,NA,NA
Data Analyst,"
Cisco",NA,Research Triangle Park,NC,NA,NA,NA
Data Science Analyst - Periscope,"
McKinsey & Company",NA,San Jose,CA,NA,NA,NA
Data Analyst,"
A-Max Insurance",NA,Dallas,TX,NA,NA,NA
Data Analyst,"
Northeast Ohio Regional Sewer District",NA,Cleveland,OH,NA,NA,NA
Data Scientist / Data Analyst,NA,NA,Sunnyvale,CA,NA,NA,NA
Data Analyst,"
Pattern Energy",NA,Houston,TX,NA,NA,NA
Data Analyst,"
MultiView, Inc.",NA,Irving,TX,NA,NA,NA
Data Analyst,"
Honda R&D Americas, Inc.",NA,Raymond,OH,NA,NA,NA
Business data Analyst,"
RBC",NA,Jersey City,NJ,NA,NA,NA
Data Analyst,"
University at Buffalo",NA,Buffalo,NY,NA,NA,NA
Data Engineer,"
GEICO",NA,Chevy Chase,MD,NA,NA,NA
Data Scientist - Machine Learning,"
Lockheed Martin",NA,Orlando,FL,NA,NA,NA
Machine Learning Intern SAN FRANCISCOMEMBER OF TECHNICAL STAFFINTERNSHIP,NA,NA,San Francisco,CA,NA,NA,NA
"Data Scientist (Machine Learning & Natural Language), Siri","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
"Software Engineer, Machine Learning","
Google",NA,Mountain View,CA,NA,NA,NA
Data Scientist,"
C.H. Robinson",NA,Eden Prairie,MN,NA,NA,NA
2018 Image Data Scientist Intern,"
Merck",NA,West Point,PA,NA,NA,NA
Associate Machine Learning Engineer,"
eharmony",NA,Los Angeles,CA,NA,NA,NA
Failure Analysis Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Health Sensing Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Analyst,"
Houston-Galveston Area Council",NA,Houston,TX,NA,NA,NA
"Business Intelligence Analyst - Overland Park, KS","
Cargill",NA,Overland Park,KS,NA,NA,NA
Data Analyst II - Schedule,"
Capital Metro",NA,Austin,TX,NA,NA,NA
Healthcare Data Analyst,"
MetroPlus Health Plan",NA,New York,NY,NA,NA,NA
Data Engineer,"
Bank of America",NA,Charlotte,NC,NA,NA,NA
Machine Learning Engineer,NA,NA,Los Altos,CA,NA,NA,NA
Algorithm Developer in Machine Learning,NA,NA,Dulles,VA,NA,NA,NA
Machine Learning Scientist,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Data Scientist,"
Intel",NA,Phoenix,AZ,NA,NA,NA
Assistant Research Biostatistician - Psychiatry & Behavioral Sciences,"
Memorial Sloan Kettering",NA,New York,NY,NA,NA,NA
Business Data Analyst,"
Intuit",NA,Mountain View,CA,NA,NA,NA
Data Analyst,"
Penn State University",NA,University Park,PA,NA,NA,NA
Data Engineer,"
Transamerica",NA,Plano,TX,NA,NA,NA
Big Data Engineer,"
McKinsey & Company",NA,Atlanta,GA,NA,NA,NA
Machine Learning Engineer (Associate) - Intelligent Solutions,"
JP Morgan Chase",NA,New York,NY,NA,NA,NA
Data Scientist Intern,"
Patheon Inc.",NA,Raleigh,NC,NA,NA,NA
Artificial Intelligence/Machine Learning Specialist,"
Amazon.com",NA,New York,NY,NA,NA,NA
Machine Learning / Artificial Intelligence Scientist,"
Ford Motor Company",NA,Palo Alto,CA,NA,NA,NA
Data Scientist Intern,"
NIKE INC",NA,Beaverton,OR,NA,NA,NA
Machine Learning Intern,"
Xilinx",NA,San Jose,CA,NA,NA,NA
Data Science & Machine Learning Engineer- iPhone Operations,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning A.I. Software Engineer,"
Applied Research Associates, Inc",NA,Raleigh,NC,NA,NA,NA
"Data Scientist/Quantitative Analyst, Engineering","
Google",NA,Mountain View,CA,NA,NA,NA
Data Science Intern,"
Intel",NA,Phoenix,AZ,NA,NA,NA
"Machine Learning Engineer, Amazon AI","
Amazon Web Services, Inc.",NA,Palo Alto,CA,NA,NA,NA
Entry-Level Cognitive / AI / Machine Learning Software Developer,"
IBM",NA,Austin,TX,NA,NA,NA
Computer Vision/Machine Learning Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
"Machine Learning Engineer, Predictive Intelligence","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Intern,NA,NA,San Francisco,CA,NA,NA,NA
"Handwriting Recognition and Machine Learning Engineer, Frameworks","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Big Data Scientist- Machine Learning/AI Programming,"
Humana",NA,Irving,TX,NA,NA,NA
Machine Learning Researcher Intern,"
Amazon.com",NA,Seattle,WA,NA,NA,NA
Machine Learning Engineer,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
Machine Learning and Computer Vision Architect - Platform Architecture,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Los Altos,CA,NA,NA,NA
Failure Analysis Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Health Sensing Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Palo Alto,CA,NA,NA,NA
Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Graduate Intern,"
Mitre Corporation",NA,San Diego,CA,NA,NA,NA
Machine Intelligence Scientist & Engineer,"
Draper",NA,Reston,VA,NA,NA,NA
Data Scientist,"
JP Morgan Chase",NA,Columbus,OH,NA,NA,NA
Computer Vision Data Engineer - Technology Development Group,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Engineer Intern (Spring),"
KAYAK",NA,Cambridge,MA,NA,NA,NA
Operations Research Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
"2018 Summer Data Science Intern - Mountain View, CA",NA,NA,Mountain View,CA,NA,NA,NA
Machine Learning Intern,"
Mitek Systems",NA,San Diego,CA,NA,NA,NA
Junior Quantitative Researcher - Machine Learning,"
Akuna Capital",NA,Chicago,IL,NA,NA,NA
Associate - Machine Learning,"
McKinsey & Company",NA,New York,NY,NA,NA,NA
Maps Search and Machine Learning Engineer/Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Analyst - Entry Level,"
Auto-Owners Insurance",NA,Lansing,MI,NA,NA,NA
Data Analyst,"
Perfect World Entertainment",NA,Redwood City,CA,NA,NA,NA
Data Scientist / Data Analyst,"
Hyperloop One",NA,Los Angeles,CA,NA,NA,NA
Machine Learning Engineer - QuantumBlack,"
McKinsey & Company",NA,Boston,MA,NA,NA,NA
Mathematical Modeling Data Scientist,"
Oak Ridge Associated Universities",NA,Research Triangle Park,NC,NA,NA,NA
"Applied Researcher, Machine Learning","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Expert (Intelligent Algorithms),"
JP Morgan Chase",NA,Chicago,IL,NA,NA,NA
Machine Learning Researcher,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Software Dev Engineer,"
Amazon Corporate LLC",NA,Palo Alto,CA,NA,NA,NA
Data Scientist,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Machine Learning Engineer,"
Twitter",NA,San Francisco,CA,NA,NA,NA
Machine Learning Accelerator Architect,"
Google",NA,Mountain View,CA,NA,NA,NA
Data Scientist,"
The Boston Consulting Group",NA,New York,NY,NA,NA,NA
Cognitive / AI / Machine Learning Software Developer Internship 2018,"
IBM",NA,Austin,TX,NA,NA,NA
Data Scientist,"
General Electric",NA,Evendale,OH,NA,NA,NA
"Software Engineer, Machine Learning","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Machine Learning Intern (Summer 2018),"
Philips Lighting",NA,Cambridge,MA,NA,NA,NA
Machine Learning Engineer,NA,NA,Sunnyvale,CA,NA,NA,NA
Systems Engineer (Entry Level) Machine Learning,"
SRC, Inc.",NA,Syracuse,NY,NA,NA,NA
Natural Language Processing Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Software Engineer,"
JP Morgan Chase",NA,Jersey City,NJ,NA,NA,NA
Machine Learning Engineer - Intelligent Solutions,"
JP Morgan Chase",NA,New York,NY,NA,NA,NA
Intern-Data Science,"
Palo Alto Networks",NA,Santa Clara,CA,NA,NA,NA
Data Scientist / Software Developer,"
Tessella",NA,Houston,TX,NA,NA,NA
Data Scientist,"
CACI",NA,Reston,VA,NA,NA,NA
Maps Search - Engineer/Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Junior Data Analyst (3+ months),"
SEIU 775 Benefits Group",NA,Seattle,WA,NA,NA,NA
Machine Learning Software Engineer,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
"Machine Learning / AI Engineer, Data Stream","
Workday",NA,San Francisco,CA,NA,NA,NA
Data Scientist - MTS,"
Salesforce",NA,Cambridge,MA,NA,NA,NA
Data Science Intern,"
KAYAK",NA,Cambridge,MA,NA,NA,NA
Data Scientist,"
Ford Motor Company",NA,Dearborn,MI,NA,NA,NA
Data Science Intern (Summer 2018),"
Philips Lighting",NA,Cambridge,MA,NA,NA,NA
Machine Learning Engineer,"
TransUnion",NA,Chicago,IL,NA,NA,NA
Post Masters Student-Machine Learning Algorithms Developer,"
Los Alamos National Laboratory",NA,Los Alamos,NM,NA,NA,NA
Business Intelligence Data Scientist,"
Chipotle Mexican Grill",NA,Denver,CO,NA,NA,NA
Machine Learning Engineer,"
JP Morgan Chase",NA,San Francisco,CA,NA,NA,NA
Research and Development Engineer (Systems and Data Analyst),"
Penn State University",NA,University Park,PA,NA,NA,NA
Intern - Machine Learning Performance Metrics,"
Intel",NA,Santa Clara,CA,NA,NA,NA
Data Scientist Intern (Summer 2018),"
Electronic Arts",NA,Redwood City,CA,NA,NA,NA
Data Scientist Intern,"
Amazon.com",NA,Seattle,WA,NA,NA,NA
Machine Learning Evangelist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Junior Data Scientist,"
SAP",NA,Palo Alto,CA,NA,NA,NA
"Data Scientist (Machine Learning & Natural Language), Siri","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Scientist,NA,NA,Washington,DC,NA,NA,NA
Senior Data Analyst,"
Intellipro Group Inc.",NA,Mountain View,CA,NA,NA,NA
Data Scientist,"
Sumeru Solutions",NA,Palo Alto,CA,NA,NA,NA
"Data Scientist Research Intern - FLA - Sunnyvale, CA","
Fujitsu",NA,Sunnyvale,CA,NA,NA,NA
Data Scientist,"
CapTech Consulting",NA,Charlotte,NC,NA,NA,NA
Junior Data Scientist,"
The World Bank",NA,Washington,DC,NA,NA,NA
Data Scientist,"
MassMutual",NA,Boston,MA,NA,NA,NA
Data Scientist,"
Bank of America",NA,Charlotte,NC,NA,NA,NA
Data Scientist Intern (Summer 2018),"
Electronic Arts",NA,Redwood City,CA,NA,NA,NA
"Core Data Science, PhD Intern/Co-op (2018)","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Data Scientist Silicon Intern,"
Intel",NA,Santa Clara,CA,NA,NA,NA
Data Scientist,"
Intel",NA,Phoenix,AZ,NA,NA,NA
"Data Scientist Intern, Oculus","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Data Scientist Intern - Digital McKinsey,"
McKinsey & Company",NA,New York,NY,NA,NA,NA
Data Analytics Intern,"
Vanguard",NA,Malvern,PA,NA,NA,NA
Data Scientist,"
Schneider Electric",NA,Andover,MA,NA,NA,NA
Data Scientist,"
Ancestry",NA,San Francisco,CA,NA,NA,NA
Machine Learning Intern,NA,NA,San Francisco,CA,NA,NA,NA
"Infrastructure Data Scientist, Intern","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Data Scientist,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Summer 2018 Data Analyst Intern,"
Guardian Life Insurance Company",NA,New York,NY,NA,NA,NA
Data Scientist - People Analytics & Measurement,"
McKinsey & Company",NA,Atlanta,GA,NA,NA,NA
Machine Learning Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Principal Data Scientist - Predictive and Prescriptive Analytics,"
Verizon",NA,Irving,TX,NA,NA,NA
Data Scientist,NA,NA,Austin,TX,NA,NA,NA
Data Scientist / Data Analyst,NA,NA,Sunnyvale,CA,NA,NA,NA
Junior Data Scientist,"
Realogy Corporate",NA,Emeryville,CA,NA,NA,NA
"Product Analyst, Data Science","
Google",NA,Mountain View,CA,NA,NA,NA
Data Scientist,"
Citi",NA,Irving,TX,NA,NA,NA
Data Scientist,"
Halliburton",NA,Houston,TX,NA,NA,NA
Data Science Intern (Summer 2018),"
TiVo",NA,Boston,MA,NA,NA,NA
Data Science Summer Intern 2018,"
Grubhub",NA,New York,NY,NA,NA,NA
Statistical Programmer (Associate),"
Pfizer Inc.",NA,Collegeville,PA,NA,NA,NA
Data Scientist,"
JP Morgan Chase",NA,Columbus,OH,NA,NA,NA
Data Science Intern,"
Marvell",NA,Santa Clara,CA,NA,NA,NA
Data Science Intern,"
Huawei",NA,Santa Clara,CA,NA,NA,NA
Operations Research Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Quantitative Analytics Professional (Data Scientist),"
Freddie Mac",NA,McLean,VA,NA,NA,NA
Data Scientist,"
The Henry M. Jackson Foundation",NA,Bethesda,MD,NA,NA,NA
Data Scientist,"
Brookhaven National Laboratory",NA,Upton,NY,NA,NA,NA
Research Data Analyst 1,"
Stanford University",NA,Stanford,CA,NA,NA,NA
College Student Intern - Data Analytics,"
Lockheed Martin",NA,Fort Worth,TX,NA,NA,NA
Analytics Specialist- Operations Analysis & Performance Data Science,"
Delta Air Lines",NA,Atlanta,GA,NA,NA,NA
Data Science Scientific Programmer,"
Bristol-Myers Squibb",NA,Hopewell,NJ,NA,NA,NA
"Data Scientist, Analytics","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Contract - Summer Intern in Adversarial Machine Learning,NA,NA,Malibu,CA,NA,NA,NA
Machine Learning Evangelist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Model for Cancer Vaccine Design,"
Oak Ridge Associated Universities",NA,Oak Ridge,TN,NA,NA,NA
Failure Analysis Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
"Data Scientist, Internet Services Team","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Scientist I,"
GEICO",NA,Chevy Chase,MD,NA,NA,NA
Specialized Statistical Programmer (Associate),"
Pfizer Inc.",NA,Groton,CT,NA,NA,NA
Data Scientist Bachelors (Intern) - United States,"
Cisco",NA,San Jose,CA,NA,NA,NA
Data Scientist - Machine Learning,"
Lockheed Martin",NA,Orlando,FL,NA,NA,NA
Data Scientist - Predictive Analytics,"
Schneider Electric",NA,Nashville,TN,NA,NA,NA
